nodes/id,nodes/class_name,nodes/properties/0,nodes/states/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/properties/4,nodes/properties/5,nodes/states/1
11,kitchen,,,,,,,,
12,wall,,,,,,,,
13,wall,,,,,,,,
14,wall,,,,,,,,
15,wall,,,,,,,,
16,wall,,,,,,,,
17,wall,,,,,,,,
18,wall,,,,,,,,
19,wall,,,,,,,,
20,wall,,,,,,,,
21,wall,,,,,,,,
22,floor,SURFACES,,,,,,,
23,floor,SURFACES,,,,,,,
24,floor,SURFACES,,,,,,,
25,floor,SURFACES,,,,,,,
26,floor,SURFACES,,,,,,,
27,floor,SURFACES,,,,,,,
28,floor,SURFACES,,,,,,,
29,floor,SURFACES,,,,,,,
30,floor,SURFACES,,,,,,,
31,floor,SURFACES,,,,,,,
32,floor,SURFACES,,,,,,,
33,floor,SURFACES,,,,,,,
34,ceiling,,,,,,,,
35,ceiling,,,,,,,,
36,ceiling,,,,,,,,
37,ceiling,,,,,,,,
38,ceiling,,,,,,,,
39,ceiling,,,,,,,,
40,ceiling,,,,,,,,
41,ceiling,,,,,,,,
42,ceiling,,,,,,,,
43,ceiling,,,,,,,,
44,ceiling,,,,,,,,
45,ceiling,,,,,,,,
46,doorjamb,,,,,,,,
47,door,CAN_OPEN,OPEN,,,,,,
48,doorjamb,,,,,,,,
49,window,CAN_OPEN,CLOSED,,,,,,
50,ceilinglamp,,,,,,,,
51,ceilinglamp,,,,,,,,
52,ceilinglamp,,,,,,,,
53,walllamp,,,,,,,,
54,walllamp,,,,,,,,
55,walllamp,,,,,,,,
56,wallphone,GRABBABLE,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,,,
57,powersocket,,,,,,,,
58,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
59,cutleryknife,GRABBABLE,,MOVABLE,,,,,
60,cutleryknife,GRABBABLE,,MOVABLE,,,,,
61,knifeblock,,,,,,,,
62,fryingpan,SURFACES,,GRABBABLE,RECIPIENT,CONTAINERS,MOVABLE,,
63,cookingpot,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,MOVABLE,,,
64,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
65,cutleryknife,GRABBABLE,,MOVABLE,,,,,
66,cutleryfork,GRABBABLE,,MOVABLE,,,,,
67,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
