nodes/id,nodes/class_name,nodes/properties/0,nodes/states/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/properties/4,nodes/states/1,nodes/properties/5
11,kitchen,,,,,,,,
12,floor,SURFACES,,,,,,,
13,floor,SURFACES,,,,,,,
14,floor,SURFACES,,,,,,,
15,floor,SURFACES,,,,,,,
16,floor,SURFACES,,,,,,,
17,floor,SURFACES,,,,,,,
18,floor,SURFACES,,,,,,,
19,floor,SURFACES,,,,,,,
20,floor,SURFACES,,,,,,,
21,ceiling,,,,,,,,
22,ceiling,,,,,,,,
23,ceiling,,,,,,,,
24,ceiling,,,,,,,,
25,ceiling,,,,,,,,
26,ceiling,,,,,,,,
27,ceiling,,,,,,,,
28,ceiling,,,,,,,,
29,ceiling,,,,,,,,
30,wall,,,,,,,,
31,wall,,,,,,,,
32,wall,,,,,,,,
33,wall,,,,,,,,
34,wall,,,,,,,,
35,wall,,,,,,,,
36,wall,,,,,,,,
37,wall,,,,,,,,
38,wall,,,,,,,,
39,wall,,,,,,,,
40,door,CAN_OPEN,OPEN,,,,,,
41,doorjamb,,,,,,,,
42,window,CAN_OPEN,CLOSED,,,,,,
43,ceilinglamp,,,,,,,,
44,ceilinglamp,,,,,,,,
45,walllamp,,,,,,,,
46,milk,GRABBABLE,CLOSED,DRINKABLE,POURABLE,CAN_OPEN,MOVABLE,,
47,apple,GRABBABLE,,MOVABLE,,,,,
48,apple,GRABBABLE,,MOVABLE,,,,,
49,bananas,GRABBABLE,,MOVABLE,,,,,
50,lime,GRABBABLE,,MOVABLE,,,,,
51,peach,,,,,,,,
52,peach,,,,,,,,
53,plum,GRABBABLE,,MOVABLE,,,,,
54,plum,GRABBABLE,,MOVABLE,,,,,
55,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
56,creamybuns,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
57,chocolatesyrup,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
58,cereal,GRABBABLE,,EATABLE,MOVABLE,,,,
59,candybar,GRABBABLE,,EATABLE,MOVABLE,,,,
60,cutlets,GRABBABLE,,MOVABLE,,,,,
61,chips,GRABBABLE,,MOVABLE,,,,,
62,pancake,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
63,crackers,GRABBABLE,,MOVABLE,,,,,
64,pear,GRABBABLE,,MOVABLE,,,,,
65,peach,,,,,,,,
66,crackers,GRABBABLE,,MOVABLE,,,,,
67,chips,GRABBABLE,,MOVABLE,,,,,
68,bottlewater,DRINKABLE,,POURABLE,,,,,
69,salad,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
70,salmon,GRABBABLE,,MOVABLE,,,,,
71,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
72,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
73,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
74,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
75,kitchentable,SURFACES,,MOVABLE,,,,,
76,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
77,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
78,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
79,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
80,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
81,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
82,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
83,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
84,kitchencounter,SURFACES,CLOSED,,,,,,
85,kitchencounterdrawer,,,,,,,,
86,kitchencounterdrawer,,,,,,,,
87,kitchencounterdrawer,,,,,,,,
88,kitchencounterdrawer,,,,,,,,
89,kitchencounterdrawer,,,,,,,,
90,kitchencounterdrawer,,,,,,,,
91,kitchencounterdrawer,,,,,,,,
92,kitchencounterdrawer,,,,,,,,
93,sink,RECIPIENT,,CONTAINERS,,,,,
94,faucet,HAS_SWITCH,OFF,,,,,,
95,kitchencounter,SURFACES,CLOSED,,,,,,
96,kitchencounter,SURFACES,CLOSED,,,,,,
97,sofa,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
98,nightstand,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
99,nightstand,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
100,wallshelf,,,,,,,,
101,wallshelf,,,,,,,,
102,toaster,HAS_SWITCH,OFF,CONTAINERS,HAS_PLUG,MOVABLE,,,
103,breadslice,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
104,breadslice,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
105,stovefan,,,,,,,,
106,fridge,CAN_OPEN,CLOSED,HAS_SWITCH,CONTAINERS,HAS_PLUG,,,
107,dishwasher,CAN_OPEN,CLOSED,HAS_SWITCH,CONTAINERS,,,OFF,
108,stove,SURFACES,OFF,CAN_OPEN,HAS_SWITCH,CONTAINERS,,CLOSED,
109,oventray,SURFACES,,GRABBABLE,MOVABLE,,,,
110,coffeemaker,RECIPIENT,OFF,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,,MOVABLE
111,coffeepot,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,MOVABLE,,,
112,microwave,CAN_OPEN,CLOSED,HAS_SWITCH,CONTAINERS,HAS_PLUG,,OFF,
113,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
114,washingsponge,GRABBABLE,,MOVABLE,,,,,
115,dishwashingliquid,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
116,cutleryknife,GRABBABLE,,MOVABLE,,,,,
117,cutleryknife,GRABBABLE,,MOVABLE,,,,,
118,knifeblock,,,,,,,,
119,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
120,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
121,mug,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
122,mug,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
123,cookingpot,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,MOVABLE,,,
124,cookingpot,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,MOVABLE,,,
125,fryingpan,SURFACES,,GRABBABLE,RECIPIENT,CONTAINERS,MOVABLE,,
126,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
127,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
128,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
129,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
130,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
131,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
132,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
133,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
134,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
135,cutleryknife,GRABBABLE,,MOVABLE,,,,,
136,cutleryfork,GRABBABLE,,MOVABLE,,,,,
137,cutleryfork,GRABBABLE,,MOVABLE,,,,,
138,cutleryknife,GRABBABLE,,MOVABLE,,,,,
139,cutleryknife,GRABBABLE,,MOVABLE,,,,,
140,cutleryfork,GRABBABLE,,MOVABLE,,,,,
141,cutleryknife,GRABBABLE,,MOVABLE,,,,,
142,cutleryfork,GRABBABLE,,MOVABLE,,,,,
143,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
144,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
145,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
146,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
