nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/states/0,nodes/properties/4,nodes/properties/5,nodes/states/1
11,livingroom,,,,,,,,
12,floor,SURFACES,,,,,,,
13,floor,SURFACES,,,,,,,
14,floor,SURFACES,,,,,,,
15,floor,SURFACES,,,,,,,
16,wall,,,,,,,,
17,wall,,,,,,,,
18,wall,,,,,,,,
19,wall,,,,,,,,
20,ceiling,,,,,,,,
21,ceiling,,,,,,,,
22,ceiling,,,,,,,,
23,ceiling,,,,,,,,
24,doorjamb,,,,,,,,
25,sofa,SURFACES,SITTABLE,LIEABLE,MOVABLE,,,,
26,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
27,desk,SURFACES,CAN_OPEN,MOVABLE,,CLOSED,,,
28,tvstand,SURFACES,MOVABLE,,,,,,
29,wallshelf,,,,,,,,
30,wallshelf,,,,,,,,
31,wallshelf,,,,,,,,
32,wallshelf,,,,,,,,
33,nightstand,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
34,closet,CAN_OPEN,CONTAINERS,,,CLOSED,,,
35,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
36,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
37,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
38,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
39,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
40,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
41,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
42,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
43,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
44,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
45,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
46,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
47,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
48,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
49,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
50,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
51,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
52,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
53,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
54,closetdrawer,,,,,,,,
55,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
56,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
57,closetdrawer,,,,,,,,
58,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
59,closetdrawer,,,,,,,,
60,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
61,closetdrawer,,,,,,,,
62,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
63,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
64,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
65,closetdrawer,,,,,,,,
66,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
67,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
68,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
69,closetdrawer,,,,,,,,
70,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
71,closetdrawer,,,,,,,,
72,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
73,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
74,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
75,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
76,tablelamp,HAS_SWITCH,HAS_PLUG,,,ON,,,
77,ceilinglamp,,,,,,,,
78,walllamp,,,,,,,,
79,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
80,orchid,,,,,,,,
81,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
82,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
83,pillow,GRABBABLE,MOVABLE,,,,,,
84,pillow,GRABBABLE,MOVABLE,,,,,,
85,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
86,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,CLOSED,HAS_PAPER,MOVABLE,
87,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,CLOSED,HAS_PAPER,MOVABLE,
88,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,,
89,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,,
90,facecream,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
91,deodorant,,,,,,,,
92,photoframe,,,,,,,,
93,wineglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
94,waterglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
95,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
96,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
97,mug,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
98,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
99,cellphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,MOVABLE,OFF,,,
100,powersocket,,,,,,,,
101,lightswitch,HAS_SWITCH,HAS_PLUG,,,ON,,,
102,keyboard,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
103,mouse,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
104,mousemat,SURFACES,MOVABLE,,,,,,
105,cpuscreen,,,,,,,,
106,tv,HAS_SWITCH,LOOKABLE,HAS_PLUG,,OFF,,,
107,computer,HAS_SWITCH,LOOKABLE,,,OFF,,,
108,remotecontrol,GRABBABLE,HAS_SWITCH,MOVABLE,,OFF,,,
109,breadslice,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
110,kitchen,,,,,,,,
111,floor,SURFACES,,,,,,,
112,floor,SURFACES,,,,,,,
113,floor,SURFACES,,,,,,,
114,floor,SURFACES,,,,,,,
115,floor,SURFACES,,,,,,,
116,floor,SURFACES,,,,,,,
117,wall,,,,,,,,
118,wall,,,,,,,,
119,wall,,,,,,,,
120,wall,,,,,,,,
121,wall,,,,,,,,
122,wall,,,,,,,,
123,ceiling,,,,,,,,
124,ceiling,,,,,,,,
125,ceiling,,,,,,,,
126,ceiling,,,,,,,,
127,ceiling,,,,,,,,
128,ceiling,,,,,,,,
129,door,CAN_OPEN,,,,OPEN,,,
130,doorjamb,,,,,,,,
131,wallshelf,,,,,,,,
132,tvstand,SURFACES,MOVABLE,,,,,,
133,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
134,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
135,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
136,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
137,kitchentable,SURFACES,MOVABLE,,,,,,
138,wallshelf,,,,,,,,
139,bookshelf,SURFACES,CONTAINERS,,,,,,
140,sofa,SURFACES,SITTABLE,LIEABLE,MOVABLE,,,,
141,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
142,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
143,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
144,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
145,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
146,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
147,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
148,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
149,kitchencounter,SURFACES,,,,CLOSED,,,
150,sink,RECIPIENT,CONTAINERS,,,,,,
151,faucet,HAS_SWITCH,,,,OFF,,,
152,stovefan,,,,,,,,
153,stove,SURFACES,CAN_OPEN,HAS_SWITCH,CONTAINERS,OFF,,,CLOSED
154,oventray,SURFACES,GRABBABLE,MOVABLE,,,,,
155,dishwasher,CAN_OPEN,HAS_SWITCH,CONTAINERS,,CLOSED,,,OFF
156,fridge,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,CLOSED,,,
157,toaster,HAS_SWITCH,CONTAINERS,HAS_PLUG,MOVABLE,OFF,,,
158,breadslice,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
159,breadslice,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
160,coffeemaker,RECIPIENT,CAN_OPEN,HAS_SWITCH,CONTAINERS,CLOSED,HAS_PLUG,MOVABLE,OFF
161,microwave,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,CLOSED,,,OFF
162,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
163,ceilinglamp,,,,,,,,
164,ceilinglamp,,,,,,,,
165,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
166,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
167,wineglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
168,wineglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
169,washingsponge,GRABBABLE,MOVABLE,,,,,,
170,dishwashingliquid,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
171,facecream,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
172,deodorant,,,,,,,,
173,perfume,,,,,,,,
174,cookingpot,GRABBABLE,RECIPIENT,CAN_OPEN,MOVABLE,CLOSED,,,
175,condimentbottle,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
176,condimentbottle,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
177,condimentshaker,GRABBABLE,EATABLE,POURABLE,MOVABLE,,,,
178,condimentshaker,GRABBABLE,EATABLE,POURABLE,MOVABLE,,,,
179,box,GRABBABLE,RECIPIENT,CAN_OPEN,CONTAINERS,CLOSED,COVER_OBJECT,MOVABLE,
180,photoframe,,,,,,,,
181,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
182,mug,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
183,mug,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
184,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
185,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
186,cellphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,MOVABLE,OFF,,,
187,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,CLOSED,HAS_PAPER,MOVABLE,
188,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,CLOSED,HAS_PAPER,MOVABLE,
189,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,CLOSED,HAS_PAPER,MOVABLE,
190,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,CLOSED,HAS_PAPER,MOVABLE,
191,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,CLOSED,HAS_PAPER,MOVABLE,
192,coffeepot,GRABBABLE,RECIPIENT,CAN_OPEN,MOVABLE,CLOSED,,,
193,cutleryknife,GRABBABLE,MOVABLE,,,,,,
194,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
195,fryingpan,SURFACES,GRABBABLE,RECIPIENT,CONTAINERS,,MOVABLE,,
196,pillow,GRABBABLE,MOVABLE,,,,,,
197,pillow,GRABBABLE,MOVABLE,,,,,,
198,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
199,orchid,,,,,,,,
200,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
201,wallphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,MOVABLE,OFF,,,
202,tv,HAS_SWITCH,LOOKABLE,HAS_PLUG,,OFF,,,
203,lightswitch,HAS_SWITCH,HAS_PLUG,,,ON,,,
204,powersocket,,,,,,,,
205,bananas,GRABBABLE,MOVABLE,,,,,,
206,bananas,GRABBABLE,MOVABLE,,,,,,
207,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
208,mincedmeat,GRABBABLE,MOVABLE,,,,,,
209,cutlets,GRABBABLE,MOVABLE,,,,,,
210,chocolatesyrup,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
211,cereal,GRABBABLE,EATABLE,MOVABLE,,,,,
212,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
213,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
214,pudding,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
215,pie,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
216,bottlewater,DRINKABLE,POURABLE,,,,,,
217,milk,GRABBABLE,DRINKABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,
218,salad,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
219,salmon,GRABBABLE,MOVABLE,,,,,,
220,bedroom,,,,,,,,
221,floor,SURFACES,,,,,,,
222,floor,SURFACES,,,,,,,
223,floor,SURFACES,,,,,,,
224,floor,SURFACES,,,,,,,
225,ceiling,,,,,,,,
226,ceiling,,,,,,,,
227,ceiling,,,,,,,,
228,ceiling,,,,,,,,
229,wall,,,,,,,,
230,wall,,,,,,,,
231,wall,,,,,,,,
232,wall,,,,,,,,
233,walllamp,,,,,,,,
234,walllamp,,,,,,,,
235,tablelamp,HAS_SWITCH,HAS_PLUG,,,ON,,,
236,ceilinglamp,,,,,,,,
237,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
238,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
239,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
240,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
241,pillow,GRABBABLE,MOVABLE,,,,,,
242,pillow,GRABBABLE,MOVABLE,,,,,,
243,pillow,GRABBABLE,MOVABLE,,,,,,
244,orchid,,,,,,,,
245,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
246,pillow,GRABBABLE,MOVABLE,,,,,,
247,pillow,GRABBABLE,MOVABLE,,,,,,
248,doorjamb,,,,,,,,
249,door,CAN_OPEN,,,,OPEN,,,
250,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,CLOSED,HAS_PAPER,MOVABLE,
251,perfume,,,,,,,,
252,deodorant,,,,,,,,
253,facecream,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
254,photoframe,,,,,,,,
255,lightswitch,HAS_SWITCH,HAS_PLUG,,,ON,,,
256,powersocket,,,,,,,,
257,radio,SURFACES,GRABBABLE,CAN_OPEN,HAS_SWITCH,OFF,HAS_PLUG,MOVABLE,
258,wallshelf,,,,,,,,
259,wallshelf,,,,,,,,
260,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
261,closet,CAN_OPEN,CONTAINERS,,,CLOSED,,,
262,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
263,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
264,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
265,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
266,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
267,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
268,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
269,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
270,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
271,closetdrawer,,,,,,,,
272,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
273,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
274,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
275,closetdrawer,,,,,,,,
276,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
277,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
