nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/properties/4,nodes/states/0,nodes/properties/5,nodes/states/1
11,bathroom,,,,,,,,
12,floor,SURFACES,,,,,,,
13,floor,SURFACES,,,,,,,
14,floor,SURFACES,,,,,,,
15,floor,SURFACES,,,,,,,
16,floor,SURFACES,,,,,,,
17,floor,SURFACES,,,,,,,
18,wall,,,,,,,,
19,wall,,,,,,,,
20,wall,,,,,,,,
21,wall,,,,,,,,
22,wall,,,,,,,,
23,wall,,,,,,,,
24,ceiling,,,,,,,,
25,ceiling,,,,,,,,
26,ceiling,,,,,,,,
27,ceiling,,,,,,,,
28,ceiling,,,,,,,,
29,ceiling,,,,,,,,
30,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,,
31,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,,CLOSED,,
32,ceilinglamp,,,,,,,,
33,walllamp,,,,,,,,
34,walllamp,,,,,,,,
35,walllamp,,,,,,,,
36,bathroomcounter,SURFACES,,,,,CLOSED,,
37,sink,RECIPIENT,CONTAINERS,,,,,,
38,faucet,HAS_SWITCH,,,,,OFF,,
39,bathtub,SITTABLE,LIEABLE,,,,,,
40,towelrack,SURFACES,GRABBABLE,MOVABLE,,,,,
41,towelrack,SURFACES,GRABBABLE,MOVABLE,,,,,
42,towelrack,SURFACES,GRABBABLE,MOVABLE,,,,,
43,wallshelf,,,,,,,,
44,stall,,,,,,,,
45,bathroomcabinet,SURFACES,CAN_OPEN,CONTAINERS,,,CLOSED,,
46,toilet,SITTABLE,CAN_OPEN,CONTAINERS,,,CLOSED,,
47,door,CAN_OPEN,,,,,OPEN,,
48,doorjamb,,,,,,,,
49,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
50,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
51,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
52,deodorant,,,,,,,,
53,facecream,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
54,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
55,toothpaste,GRABBABLE,POURABLE,CAN_OPEN,MOVABLE,CREAM,CLOSED,,
56,waterglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
57,toothbrush,GRABBABLE,RECIPIENT,MOVABLE,,,,,
58,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
59,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
60,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
61,painkillers,,,,,,,,
62,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,CLOSED,MOVABLE,
63,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,CLOSED,MOVABLE,
64,perfume,,,,,,,,
65,mug,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
66,window,CAN_OPEN,,,,,CLOSED,,
67,lightswitch,HAS_SWITCH,HAS_PLUG,,,,ON,,
68,washingmachine,RECIPIENT,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,CLOSED,,OFF
69,bedroom,,,,,,,,
70,floor,SURFACES,,,,,,,
71,floor,SURFACES,,,,,,,
72,floor,SURFACES,,,,,,,
73,floor,SURFACES,,,,,,,
74,floor,SURFACES,,,,,,,
75,floor,SURFACES,,,,,,,
76,floor,SURFACES,,,,,,,
77,floor,SURFACES,,,,,,,
78,floor,SURFACES,,,,,,,
79,wall,,,,,,,,
80,wall,,,,,,,,
81,wall,,,,,,,,
82,wall,,,,,,,,
83,wall,,,,,,,,
84,wall,,,,,,,,
85,wall,,,,,,,,
86,wall,,,,,,,,
87,wall,,,,,,,,
88,window,CAN_OPEN,,,,,CLOSED,,
89,ceiling,,,,,,,,
90,ceiling,,,,,,,,
91,ceiling,,,,,,,,
92,ceiling,,,,,,,,
93,ceiling,,,,,,,,
94,ceiling,,,,,,,,
95,ceiling,,,,,,,,
96,ceiling,,,,,,,,
97,ceiling,,,,,,,,
98,ceilinglamp,,,,,,,,
99,tablelamp,HAS_SWITCH,HAS_PLUG,,,,ON,,
100,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
101,bookshelf,SURFACES,CONTAINERS,,,,,,
102,nightstand,SURFACES,CAN_OPEN,CONTAINERS,,,CLOSED,,
103,bed,SURFACES,SITTABLE,LIEABLE,,,,,
104,closet,CAN_OPEN,CONTAINERS,,,,CLOSED,,
105,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
106,coffeetable,SURFACES,MOVABLE,,,,,,
107,doorjamb,,,,,,,,
108,lightswitch,HAS_SWITCH,HAS_PLUG,,,,ON,,
109,printer,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,,CLOSED,,OFF
110,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,,
111,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
112,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
113,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
114,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,,CLOSED,,
115,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,,CLOSED,,
116,pillow,GRABBABLE,MOVABLE,,,,,,
117,pillow,GRABBABLE,MOVABLE,,,,,,
118,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,CLOSED,MOVABLE,
119,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,CLOSED,MOVABLE,
120,slippers,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
121,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
122,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
123,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
124,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
125,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
126,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
127,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
128,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
129,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
