nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/states/0,nodes/properties/3,nodes/properties/4,nodes/properties/5,nodes/states/1
11,bathroom,,,,,,,,
12,wall,,,,,,,,
13,wall,,,,,,,,
14,wall,,,,,,,,
15,wall,,,,,,,,
16,ceiling,,,,,,,,
17,ceiling,,,,,,,,
18,ceiling,,,,,,,,
19,ceiling,,,,,,,,
20,floor,SURFACES,,,,,,,
21,floor,SURFACES,,,,,,,
22,floor,SURFACES,,,,,,,
23,floor,SURFACES,,,,,,,
24,toilet,SITTABLE,CAN_OPEN,CONTAINERS,CLOSED,,,,
25,bathroomcabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
26,bathroomcounter,SURFACES,,,CLOSED,,,,
27,sink,RECIPIENT,CONTAINERS,,,,,,
28,faucet,HAS_SWITCH,,,OFF,,,,
29,stall,,,,,,,,
30,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
31,towelrack,SURFACES,GRABBABLE,MOVABLE,,,,,
32,toothbrush,GRABBABLE,RECIPIENT,MOVABLE,,,,,
33,waterglass,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
34,barsoap,GRABBABLE,MOVABLE,CREAM,,,,,
35,deodorant,,,,,,,,
36,facecream,GRABBABLE,POURABLE,MOVABLE,,CREAM,,,
37,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,,
38,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,,
39,toothpaste,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,CREAM,,
40,toiletpaper,GRABBABLE,HANGABLE,CUTTABLE,,COVER_OBJECT,HAS_PAPER,MOVABLE,
41,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
42,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
43,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
44,photoframe,,,,,,,,
45,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,,
